,y_11,y_12,y_13,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ADM2_EN
223,High,High,High,High,High,High,High,No,3,Online business,3,0,1,Embakasi
224,High,Medium,High,High,High,High,High,No,2,Physical business,4,0,0,Embakasi
225,Medium,Medium,High,Medium,Medium,High,High,No,10,Physical business,10,1,1,Embakasi
226,High,High,High,High,High,High,High,Yes,1,Online business,2,1,1,Embakasi
227,Medium,Medium,High,Medium,High,Very High,High,Yes,1,Physical business,1,0,1,Embakasi
228,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
229,High,Medium,High,High,High,High,High,No,3,Physical business,3,0,1,Embakasi
230,High,High,High,High,High,High,High,No,10,Online business,10,0,1,Embakasi
231,High,High,High,High,High,High,High,No,3,Physical business,3,0,1,Embakasi
232,High,High,High,High,High,Very High,Medium,Yes,3,Physical business,4,0,1,Embakasi
234,High,High,High,High,High,High,High,No,2,Physical business,3,0,1,Embakasi
235,High,High,Medium,High,High,High,High,No,2,Physical business,2,1,1,Embakasi
236,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Embakasi
237,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Embakasi
238,High,Medium,High,High,High,High,Medium,No,3,Physical business,3,0,1,Embakasi
239,High,High,High,High,High,High,High,No,1,Online business,1,1,1,Embakasi
240,High,High,High,High,High,Medium,High,No,2,Physical business,2,0,0,Embakasi
241,High,High,High,High,High,Medium,Medium,No,1,Physical business,1,0,0,Embakasi
242,High,Medium,High,High,High,Medium,High,No,4,Physical business,4,0,1,Embakasi
244,High,High,Medium,High,Medium,High,High,No,2,Online business,2,0,1,Embakasi
245,High,High,High,High,Medium,High,High,No,2,Physical business,2,0,1,Embakasi
246,High,High,High,High,High,High,High,Yes,3,Physical business,3,0,1,Embakasi
247,High,High,Medium,High,Medium,High,High,No,2,Physical business,2,0,0,Embakasi
276,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,2,0,1,Embakasi
283,High,High,Medium,High,High,Medium,Medium,No,5,Physical business,5,0,0,Embakasi
284,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Online business,13,0,1,Embakasi
285,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,20,Online business,32,0,1,Embakasi
288,Low,Low,Medium,Low,Medium,Very High,Medium,No,10,Physical business,10,0,1,Embakasi
302,Medium,High,High,High,High,High,High,Yes,3,Online business,3,1,1,Embakasi
311,High,Very High,High,High,High,High,High,Yes,6,Physical business,6,1,0,Embakasi
328,High,High,High,High,High,High,High,Yes,4,Physical business,4,0,1,Embakasi
338,High,High,Medium,High,High,High,High,Yes,6,Online business,6,0,1,Embakasi
382,High,High,Medium,High,High,High,High,No,30,Online business,30,1,1,Embakasi
390,Medium,Medium,Medium,Medium,Medium,High,Medium,Yes,0,Online business,6,0,0,Embakasi
409,Low,Low,Medium,Low,High,High,High,No,0,Physical business,7,0,1,Embakasi
481,High,High,High,High,High,Medium,Medium,Yes,3,Physical business,3,0,0,Embakasi
508,High,High,High,High,High,High,High,No,2,Physical business,2,0,0,Embakasi
509,Medium,High,Medium,Medium,High,High,High,No,1,Online business,1,0,0,Embakasi
512,High,High,Medium,High,High,Medium,High,No,2,Physical business,2,0,0,Embakasi
513,High,High,Medium,High,Medium,High,High,No,0,Physical business,3,0,0,Embakasi
514,High,High,Medium,High,High,Medium,Medium,No,0,Physical business,1,0,1,Embakasi
518,Medium,High,Medium,Medium,Medium,High,High,Yes,2,Physical business,2,0,1,Embakasi
520,Medium,Medium,High,Medium,High,High,High,No,1,Online business,1,0,1,Embakasi
529,High,High,High,High,High,High,High,No,0,Online business,3,0,0,Embakasi
533,High,High,Medium,High,High,High,Medium,Yes,3,Physical business,3,0,1,Embakasi
537,Medium,High,High,High,High,High,High,No,5,Physical business,5,0,1,Embakasi
539,High,Medium,Medium,Medium,Medium,Low,Medium,No,1,Online business,1,0,1,Embakasi
540,High,Medium,Medium,Medium,High,Medium,Medium,No,3,Physical business,3,0,1,Embakasi
547,High,Medium,High,High,High,Medium,Medium,No,1,Physical business,1,0,1,Embakasi
554,Medium,High,High,High,High,High,High,No,2,Online business,2,0,1,Embakasi
555,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,No,7,Physical business,13,0,1,Embakasi
557,High,High,High,High,High,High,High,No,2,Online business,15,0,1,Embakasi
559,High,High,High,High,High,Very High,High,Yes,4,Physical business,6,0,0,Embakasi
576,Medium,Medium,High,Medium,High,Medium,Medium,No,1,Physical business,0,1,1,Embakasi
577,Medium,Medium,High,Medium,High,High,Medium,No,5,Physical business,7,1,1,Embakasi
578,Medium,Medium,High,Medium,High,High,High,Yes,0,Physical business,2,0,1,Embakasi
579,High,Medium,Medium,Medium,High,High,Medium,No,6,Online business,7,1,0,Embakasi
580,High,High,Very High,High,High,High,Medium,No,3,Physical business,3,0,1,Embakasi
599,Low,Low,High,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Embakasi
617,Medium,High,High,High,Medium,High,Medium,Yes,25,Online business,25,0,1,Embakasi
656,High,High,Medium,High,Medium,High,Medium,No,2,Physical business,2,0,1,Embakasi
657,High,Medium,High,High,High,Medium,High,No,0,Physical business,8,1,0,Embakasi
658,High,High,Medium,High,Medium,High,Medium,No,2,Physical business,2,1,1,Embakasi
661,High,High,Medium,High,High,High,High,No,3,Online business,3,0,1,Embakasi
663,Very High,Very High,Very High,Very High,High,Very High,High,Yes,10,Physical business,10,0,1,Embakasi
664,High,High,High,High,High,High,High,No,10,Online business,10,0,1,Embakasi
665,High,High,High,High,High,High,Medium,Yes,10,Physical business,11,1,0,Embakasi
666,Very High,High,High,High,High,High,High,Yes,4,Physical business,4,0,1,Embakasi
668,High,High,Medium,High,Medium,High,High,Yes,0,Physical business,5,0,0,Embakasi
672,High,High,High,High,High,High,High,Yes,15,Online business,17,0,1,Embakasi
673,High,High,High,High,High,High,High,No,12,Online business,13,1,1,Embakasi
677,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Embakasi
678,Medium,High,High,High,High,High,High,Yes,4,Physical business,5,1,1,Embakasi
683,High,High,Very High,High,Very High,High,Very High,No,0,Online business,3,0,1,Embakasi
695,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Yes,4,Physical business,4,0,0,Embakasi
742,High,Medium,High,High,Medium,High,High,No,0,Physical business,3,0,0,Embakasi
746,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Embakasi
748,High,High,High,High,High,High,High,Yes,3,Physical business,3,0,1,Embakasi
752,High,Medium,Medium,Medium,Medium,High,High,No,4,Physical business,4,1,1,Embakasi
763,High,High,High,High,High,High,High,No,1,Physical business,3,0,1,Embakasi
251,High,High,Medium,High,Medium,High,High,No,0,Online business,2,1,1,Kamukunji
255,High,High,High,High,High,High,Very High,No,0,Physical business,3,0,1,Kamukunji
300,High,High,High,High,High,High,High,No,0,Physical business,2,0,1,Kamukunji
304,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,3,Physical business,3,0,1,Kamukunji
307,Medium,Medium,High,Medium,High,High,Medium,No,0,Online business,0,0,0,Kamukunji
312,High,High,High,High,High,High,High,No,0,Online business,0,0,1,Kamukunji
379,High,High,Medium,High,Medium,Medium,High,No,3,Physical business,3,0,1,Kamukunji
383,Medium,Medium,High,Medium,High,High,Medium,No,8,Physical business,8,0,0,Kamukunji
384,Low,Low,Low,Low,Low,Medium,Low,Yes,1,Physical business,1,0,0,Kamukunji
385,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,0,Kamukunji
386,Medium,High,Medium,Medium,Medium,Medium,High,No,4,Physical business,4,0,1,Kamukunji
389,Medium,Medium,Medium,Medium,Medium,High,Medium,No,7,Physical business,7,0,1,Kamukunji
391,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,6,0,0,Kamukunji
392,Medium,High,Medium,Medium,Medium,Medium,Medium,Yes,1,Online business,1,0,0,Kamukunji
395,Medium,Medium,Medium,Medium,High,High,Medium,No,0,Physical business,3,0,0,Kamukunji
397,Medium,Medium,Medium,Medium,Medium,High,Medium,No,10,Physical business,10,0,1,Kamukunji
398,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,1,0,1,Kamukunji
399,High,Medium,High,High,High,High,Medium,No,9,Physical business,9,0,0,Kamukunji
400,High,High,High,High,High,High,High,Yes,2,Online business,3,1,1,Kamukunji
401,Low,Medium,Medium,Medium,Low,Medium,Medium,No,0,Online business,3,1,0,Kamukunji
402,Medium,Medium,Medium,Medium,Low,High,Medium,Yes,0,Physical business,2,0,1,Kamukunji
403,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Physical business,12,0,1,Kamukunji
404,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,11,Physical business,11,0,1,Kamukunji
405,Medium,Medium,Medium,Medium,Medium,High,Medium,No,3,Physical business,3,0,0,Kamukunji
406,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,5,Physical business,5,0,1,Kamukunji
407,High,High,High,High,High,High,High,Yes,2,Online business,2,0,1,Kamukunji
408,High,High,High,High,High,Medium,Medium,Yes,5,Physical business,5,0,1,Kamukunji
410,High,High,High,High,High,High,High,Yes,4,Online business,7,0,1,Kamukunji
411,High,Very High,High,High,High,Medium,High,No,2,Online business,3,1,0,Kamukunji
412,High,Medium,High,High,High,High,High,No,6,Online business,11,1,0,Kamukunji
413,High,High,High,High,High,High,High,Yes,5,Online business,7,0,1,Kamukunji
414,High,High,High,High,High,High,High,No,7,Online business,7,0,1,Kamukunji
415,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Kamukunji
416,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Kamukunji
418,Medium,Medium,Medium,Medium,Medium,Low,Medium,No,0,Physical business,7,0,1,Kamukunji
419,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Physical business,1,0,0,Kamukunji
420,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kamukunji
421,High,High,High,High,High,High,High,No,5,Online business,8,0,1,Kamukunji
422,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,12,0,1,Kamukunji
423,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Kamukunji
424,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kamukunji
425,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Physical business,1,0,1,Kamukunji
426,High,High,Medium,High,High,High,Medium,No,0,Physical business,0,0,1,Kamukunji
427,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,0,Kamukunji
428,High,High,Medium,High,Medium,High,High,No,0,Physical business,0,0,1,Kamukunji
429,High,High,High,High,High,High,High,No,0,Physical business,2,0,1,Kamukunji
430,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Kamukunji
431,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Kamukunji
432,High,High,High,High,High,High,High,Yes,1,Physical business,1,0,1,Kamukunji
433,Medium,Low,Low,Low,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kamukunji
434,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Online business,10,0,1,Kamukunji
435,High,High,High,High,High,High,High,No,11,Physical business,11,0,1,Kamukunji
436,High,High,High,High,High,High,High,No,8,Physical business,8,0,1,Kamukunji
437,Low,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,0,Kamukunji
438,Medium,Medium,Low,Medium,Medium,Medium,Medium,No,0,Physical business,9,0,1,Kamukunji
439,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,5,Online business,5,0,1,Kamukunji
440,High,High,High,High,High,High,High,No,10,Online business,10,0,1,Kamukunji
441,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,0,Kamukunji
442,High,High,High,High,High,High,High,No,9,Physical business,7,0,1,Kamukunji
443,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kamukunji
444,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,6,Physical business,6,1,1,Kamukunji
445,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,2,0,1,Kamukunji
446,High,High,High,High,High,High,High,No,7,Physical business,7,0,1,Kamukunji
447,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kamukunji
448,High,High,High,High,High,High,High,No,27,Physical business,27,0,1,Kamukunji
449,Medium,Medium,High,Medium,Medium,Medium,Medium,No,0,Online business,14,0,1,Kamukunji
450,High,High,High,High,High,High,High,No,7,Online business,8,0,1,Kamukunji
451,Medium,High,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kamukunji
452,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,11,Physical business,11,0,1,Kamukunji
453,Medium,Medium,High,Medium,Medium,Medium,Medium,Yes,9,Online business,24,0,1,Kamukunji
454,High,High,High,High,High,High,High,No,6,Physical business,6,0,1,Kamukunji
455,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,100,Physical business,100,0,1,Kamukunji
456,High,High,High,High,High,High,High,Yes,4,Online business,4,0,1,Kamukunji
457,High,High,High,High,High,High,High,No,3,Physical business,3,0,1,Kamukunji
458,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Online business,2,0,1,Kamukunji
459,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,5,0,1,Kamukunji
460,High,High,High,High,High,High,High,No,10,Physical business,10,0,1,Kamukunji
461,High,High,High,High,High,High,High,No,12,Physical business,12,0,1,Kamukunji
462,Low,Medium,Medium,Medium,Low,Low,Medium,No,0,Physical business,14,1,0,Kamukunji
463,High,High,High,High,High,High,High,No,90,Online business,90,0,1,Kamukunji
464,High,High,High,High,High,High,High,No,4,Physical business,4,0,0,Kamukunji
465,High,High,High,High,High,High,High,No,7,Physical business,7,0,1,Kamukunji
466,Medium,Medium,Medium,Medium,Medium,High,Medium,No,1,Online business,2,0,1,Kamukunji
467,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,2,0,1,Kamukunji
468,High,High,High,High,High,High,High,No,7,Physical business,10,0,1,Kamukunji
469,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Kamukunji
470,High,High,High,High,High,High,High,No,6,Physical business,6,0,1,Kamukunji
471,Medium,Low,Low,Low,Medium,Low,Low,No,0,Physical business,1,0,1,Kamukunji
472,Medium,Low,Medium,Medium,Medium,Medium,Medium,No,7,Physical business,7,0,1,Kamukunji
473,High,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,0,0,0,Kamukunji
474,High,High,Medium,High,Medium,Medium,Medium,No,4,Physical business,4,0,0,Kamukunji
475,High,Medium,High,High,Medium,High,High,Yes,0,Physical business,0,0,1,Kamukunji
476,High,High,High,High,High,High,High,No,3,Online business,14,1,0,Kamukunji
477,Medium,Medium,Low,Medium,Low,Medium,Medium,Yes,2,Online business,4,0,1,Kamukunji
479,High,Medium,Medium,Medium,Medium,Low,Medium,No,3,Physical business,3,0,1,Kamukunji
482,High,High,High,High,High,Medium,High,No,0,Online business,3,1,1,Kamukunji
484,Medium,High,Medium,Medium,Medium,Medium,Low,No,5,Physical business,5,0,1,Kamukunji
485,High,Medium,Medium,Medium,Medium,High,High,No,1,Physical business,1,1,1,Kamukunji
486,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,7,1,1,Kamukunji
487,High,High,High,High,High,High,High,No,1,Online business,1,0,0,Kamukunji
488,High,High,High,High,High,High,High,No,0,Physical business,0,0,1,Kamukunji
489,High,High,High,High,High,High,High,No,2,Online business,4,1,1,Kamukunji
490,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Kamukunji
491,High,High,High,High,High,High,High,No,0,Physical business,0,0,0,Kamukunji
492,Medium,Medium,High,Medium,High,High,Medium,No,2,Physical business,6,1,0,Kamukunji
493,High,High,High,High,High,Medium,High,No,5,Physical business,5,1,1,Kamukunji
494,High,High,High,High,High,High,High,No,0,Physical business,5,0,0,Kamukunji
495,High,High,High,High,High,High,High,Yes,0,Physical business,5,1,1,Kamukunji
496,High,High,High,High,High,High,High,No,6,Physical business,6,0,1,Kamukunji
497,High,High,High,High,High,High,High,No,2,Physical business,4,0,1,Kamukunji
498,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Kamukunji
499,High,Medium,Medium,Medium,Medium,Medium,Medium,Yes,2,Online business,2,0,0,Kamukunji
500,Medium,Medium,High,Medium,High,Medium,Medium,No,1,Physical business,2,0,1,Kamukunji
501,High,High,High,High,High,High,High,Yes,4,Physical business,9,0,1,Kamukunji
502,High,High,Medium,High,Medium,Medium,High,Yes,2,Online business,2,0,0,Kamukunji
503,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kamukunji
504,High,Very High,High,High,High,Low,High,Yes,2,Physical business,2,0,1,Kamukunji
505,High,High,High,High,High,High,High,Yes,4,Online business,4,0,0,Kamukunji
506,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,0,0,0,Kamukunji
507,High,Medium,High,High,High,High,Medium,No,1,Online business,2,0,0,Kamukunji
521,High,High,High,High,High,High,High,No,1,Physical business,1,0,1,Kamukunji
524,High,High,High,High,High,High,High,No,7,Physical business,12,1,1,Kamukunji
531,High,Medium,High,High,High,High,High,No,0,Physical business,5,0,1,Kamukunji
535,High,High,High,High,High,High,High,No,0,Physical business,0,0,1,Kamukunji
538,High,High,High,High,High,High,High,No,0,Physical business,0,1,1,Kamukunji
548,Medium,High,Medium,Medium,Medium,High,High,No,0,Physical business,2,1,1,Kamukunji
550,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,0,0,1,Kamukunji
565,High,High,High,High,High,High,Medium,No,1,Physical business,1,0,0,Kamukunji
568,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,0,0,0,Kamukunji
570,High,Medium,High,High,High,High,High,No,0,Online business,1,0,0,Kamukunji
572,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,21,Physical business,32,1,1,Kamukunji
574,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,2,0,1,Kamukunji
581,High,High,Medium,High,Medium,High,Medium,No,11,Online business,20,1,0,Kamukunji
586,High,High,Medium,High,High,High,Medium,No,0,Online business,0,1,0,Kamukunji
587,High,High,High,High,High,High,High,No,0,Physical business,6,0,0,Kamukunji
594,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,0,0,0,Kamukunji
598,Medium,Medium,Medium,Medium,High,Medium,Medium,No,0,Physical business,1,0,0,Kamukunji
603,Medium,Medium,High,Medium,Medium,Medium,Medium,No,0,Physical business,0,1,1,Kamukunji
604,High,High,High,High,High,High,High,No,2,Physical business,1,0,0,Kamukunji
606,Medium,High,High,High,High,High,High,No,3,Online business,0,0,1,Kamukunji
608,Low,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Online business,2,0,0,Kamukunji
609,High,Medium,Medium,Medium,Medium,High,Medium,No,7,Online business,11,1,1,Kamukunji
